"positive","pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other ."
"positive","this amiable picture talks tough , but it's all bluster -- in the end it's as sweet as greenfingers . . ."
"positive","this is one of mr . chabrol's subtlest works , but also one of his most uncanny ."
"positive","an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed ."
"positive","even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy ."
"positive","watching spirited away is like watching an eastern imagination explode ."
"positive","as relationships shift , director robert j . siegel allows the characters to inhabit their world without cleaving to a narrative arc ."
"positive","twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record ."
"positive","while the story does seem pretty unbelievable at times , it's awfully entertaining to watch ."
"positive","a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist ."
"positive","examines its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers ."
"positive","i prefer soderbergh's concentration on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies ."
"positive","'if you are in the mood for an intelligent weepy , it can easily worm its way into your heart . '"
"positive","in imax in short , it's just as wonderful on the big screen ."
"positive","does a good job of establishing a time and place , and of telling a fascinating character's story ."
"positive","i'm going to give it a marginal thumbs up . i liked it just enough ."
"positive","those of you who don't believe in santa claus probably also think that sequels can never capture the magic of the original . well , this movie proves you wrong on both counts ."
"positive","a deliciously nonsensical comedy about a city coming apart at its seams ."
"positive","the rare imax movie that you'll wish was longer than an hour ."
"positive","my wife's plotting is nothing special ; it's the delivery that matters here ."
"positive","i've yet to find an actual vietnam war combat movie actually produced by either the north or south vietnamese , but at least now we've got something pretty damn close ."
"positive","a moving and not infrequently breathtaking film ."
"positive","it's a sharp movie about otherwise dull subjects ."
"positive","[an] absorbing documentary ."
"positive","it's like rocky and bullwinkle on speed , but that's neither completely enlightening , nor does it catch the intensity of the movie's strangeness ."
"positive","as action-adventure , this space-based homage to robert louis stevenson's treasure island fires on all plasma conduits ."
"positive","a melancholy , emotional film ."
"positive","while the filmmaking may be a bit disjointed , the subject matter is so fascinating that you won't care ."
"positive","intensely romantic , thought-provoking and even an engaging mystery ."
"positive","goofy , nutty , consistently funny . and educational !"
"positive","not a schlocky creature feature but something far more stylish and cerebral--and , hence , more chillingly effective ."
"positive","another in a long line of ultra-violent war movies , this one is not quite what it could have been as a film , but the story and theme make up for it ."
"positive","it leaves little doubt that kidman has become one of our best actors ."
"positive","the film boasts dry humor and jarring shocks , plus moments of breathtaking mystery ."
"positive","beautifully directed and convincingly acted ."
"positive","gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem fresh again ."
"positive","in the director's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ."
"positive","bring on the sequel ."
"positive","graced with the kind of social texture and realism that would be foreign in american teen comedies ."
"positive","if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann's revolution no . 9 ."
"positive","the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story ."
"positive","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event ."
"positive",". . . certainly an entertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps ."
"positive","that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ."
"positive","the movie worked for me right up to the final scene , and then it caved in ."
"positive",". . . one of the most entertaining monster movies in ages . . ."
"positive","plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision ."
"positive","would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means enjoy the new guy ."
"positive","the film is . . . determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation ."
"positive","missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane ."
"positive","an indispensable peek at the art and the agony of making people laugh ."
"positive","steadfastly uncinematic but powerfully dramatic ."
"positive","the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion ."
"positive","made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america's skin-deep notions of pulchritude ."
"positive","evokes the 19th century with a subtlety that is an object lesson in period filmmaking ."
"positive","ya-yas everywhere will forgive the flaws and love the film ."
"positive","the film's best trick is the way that it treats conspiracy as a kind of political blair witch , a monstrous murk that haunts us precisely because it can never be seen ."
